Title,Creator,Age Recommendation,Active Players,Favorites,Total Visits,Voice Chat,Camera,Date Created,Date Last Updated,Server Size,Genre,
Blox Fruits,Gamer Robot Inc,Ages 9+,682705,13632050,41.6B+,Not Supported,Not Supported,1/16/2019,7/3/2024,12,RPG,
Brookhaven 🏡RP,@Wolfpaq,All Ages,677297,22162140,55.9B+,Not Supported,Not Supported,4/21/2020,11/1/2024,22,Roleplay &amp; Avatar Sim,
Dress To Impress 💜,Dress To Impress Group,All Ages,262291,3273919,4.0B+,Not Supported,Not Supported,10/18/2023,11/3/2024,13,Roleplay &amp; Avatar Sim,
PETS GO! ✨ [NEW],BIG Games Pets,All Ages,227578,220835,207.9M+,Not Supported,Not Supported,8/11/2024,11/3/2024,8,N/A,
Murder Mystery 2,@Nikilis,Ages 13+,139510,19341088,18.4B+,Not Supported,Not Supported,1/18/2014,10/21/2024,12,Survival,
[UPDATE 1] Anime Vanguards,Kitawari,All Ages,83185,600519,585.5M+,Not Supported,Not Supported,1/28/2024,11/3/2024,24,Strategy,
The Strongest Battlegrounds,Yielding Arts,Ages 9+,163727,4221543,8.9B+,Not Supported,Not Supported,8/2/2022,10/28/2024,15,Action,
Pet Simulator 99! 🌍,BIG Games Pets,All Ages,81768,1493765,1.5B+,Not Supported,Not Supported,2/5/2022,11/3/2024,10,Simulation,
Adopt Me! ,Uplift Games,All Ages,157777,27005470,37.7B+,Not Supported,Not Supported,7/15/2017,11/2/2024,48,Roleplay &amp; Avatar Sim,
Berry Avenue 🏠 RP,Amberry Games,All Ages,90300,2321011,4.5B+,Not Supported,Not Supported,1/8/2022,11/3/2024,30,Roleplay &amp; Avatar Sim,
🎃 DOORS 👁️,LSPLASH,All Ages,63360,6713353,5.7B+,Not Supported,Not Supported,3/14/2021,10/26/2024,40,Survival,
🎃 RIVALS,Nosniy Games,Ages 9+,68950,13836106,1.3B+,Not Supported,Not Supported,5/27/2024,10/31/2024,40,Shooter,
Jujutsu Shenanigans,@AlsoNot_Tze,Ages 13+,67480,962498,1.0B+,Not Supported,Not Supported,4/17/2022,11/3/2024,20,Action,
