Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
[legacy] untitled tag game,_create,Ages 9+,150,437195,68.3M+,Supported,Supported,12/27/2021,10/27/2024,35,Party &amp; Casual,121K+,22K+,https://www.roblox.com/games/8365905206/legacy-untitled-tag-game?gameSearchSessionInfo=72050e19-3d8b-4b19-987b-d292b638f742&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8365905206&amp;position=0&amp;universeId=3202699936,11/6/2024 21:56
Catalog Avatar Creator,@ItsMuneeeb,All Ages,22589,3440370,2.8B+,Supported,Supported,7/4/2021,11/6/2024,24,Shopping,1M+,124K+,https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?gameSearchSessionInfo=fcaad7cf-4eeb-4857-b295-399fb7903db3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7041939546&amp;position=0&amp;universeId=2711375305,11/6/2024 21:56
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,3105,2911707,988.6M+,Supported,Not Supported,1/15/2021,11/5/2024,45,Survival,982K+,107K+,https://www.roblox.com/games/6243699076/HALLOWEEN-The-Mimic?gameSearchSessionInfo=33a3fbd0-e650-4baf-9cc1-ea8f0c59d62c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6243699076&amp;position=0&amp;universeId=2294168059,11/6/2024 21:56
Clone Frenzy,Bean 1,All Ages,1529,700462,5.4M+,Not Supported,Supported,9/20/2024,11/1/2024,5,Simulation,3682,276,https://www.roblox.com/games/75564300820943/Clone-Frenzy?gameSearchSessionInfo=d7ed47d9-55a5-4edb-84e7-ad6353f224ba&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=75564300820943&amp;position=0&amp;universeId=6575189761,11/6/2024 21:56
 Piggy [DECAY CHAPTER],@MiniToon,Ages 9+,6621,11683854,13.1B+,Supported,Not Supported,1/23/2020,11/5/2024,6,Survival,3M+,407K+,https://www.roblox.com/games/4623386862/Piggy-DECAY-CHAPTER?gameSearchSessionInfo=db6c85b2-dda0-4f06-8687-7e9df47ffb30&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4623386862&amp;position=0&amp;universeId=1516533665,11/6/2024 21:56
 Sol's RNG [Era 9],sol's studio,All Ages,22046,635408,766.4M+,Supported,Not Supported,12/3/2023,11/6/2024,20,Simulation,747K+,101K+,https://www.roblox.com/games/15532962292/Sols-RNG-Era-9?gameSearchSessionInfo=8c6dd141-6a7b-47b6-b431-310e4ae419e7&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15532962292&amp;position=0&amp;universeId=5361032378,11/6/2024 21:56
[ALPHA]Sonic.EXE: Fatal Consequence,@Nob_TheNobbington,All Ages,21,3632,1.9M+,Not Supported,Not Supported,6/27/2023,11/6/2024,15,Action,879,396,https://www.roblox.com/games/13874830930/ALPHA-Sonic-EXE-Fatal-Consequence?gameSearchSessionInfo=15992316-2d78-49b9-b054-ea7bdbac3d81&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13874830930&amp;position=0&amp;universeId=4810385399,11/6/2024 21:56
🎃Basketball Legends🎃,InfinitySports,All Ages,3220,359021,356.3M+,Supported,Not Supported,7/31/2023,11/6/2024,10,Sports &amp; Racing,242K+,52K+,https://www.roblox.com/games/14259168147/Basketball-Legends?gameSearchSessionInfo=43a26225-e336-43fb-b039-433cf18cccab&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14259168147&amp;position=0&amp;universeId=4931927012,11/6/2024 21:56
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,9327,2365898,2.4B+,Supported,Supported,2/17/2021,11/2/2024,16,Action,1M+,245K+,https://www.roblox.com/games/6403373529/UPDATE-Slap-Battles?gameSearchSessionInfo=dfa37b19-2931-4773-ad9d-c4795e78702e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6403373529&amp;position=0&amp;universeId=2380077519,11/6/2024 21:56
The Strongest Battlegrounds,Yielding Arts,Ages 9+,114350,4236396,8.9B+,Supported,Not Supported,8/2/2022,11/4/2024,15,Action,2M+,577K+,https://www.roblox.com/games/10449761463/The-Strongest-Battlegrounds?gameSearchSessionInfo=7f6b3fa3-dcdd-4201-a35d-beed6ff58002&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10449761463&amp;position=0&amp;universeId=3808081382,11/6/2024 21:56
[🗼UPD] Get Big Simulator,Goofin,All Ages,90,33665,9.1M+,Not Supported,Not Supported,3/20/2024,11/3/2024,10,Simulation,100K+,2979,https://www.roblox.com/games/16805075717/UPD-Get-Big-Simulator?gameSearchSessionInfo=1578014c-31b6-4450-98a9-e61eb5d0fa64&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16805075717&amp;position=0&amp;universeId=5775539687,11/6/2024 21:56
Vehicle Legends 🏎️ CARS!,QuadraTech,All Ages,5872,2278358,1.5B+,Supported,Not Supported,1/2/2020,11/4/2024,18,Simulation,1M+,70K+,https://www.roblox.com/games/4566572536/Vehicle-Legends-CARS?gameSearchSessionInfo=d8779412-c089-4066-a18f-ee06d11906cc&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=4566572536&amp;position=0&amp;universeId=1480782352,11/6/2024 21:56
[🥁] Tongue Battles,LDS Fighting,All Ages,2561,217772,132.0M+,Supported,Not Supported,3/12/2024,11/5/2024,18,Action,383K+,28K+,https://www.roblox.com/games/16721806812/Tongue-Battles?gameSearchSessionInfo=2c1e374a-53c3-4354-8ee0-9df9a643edb3&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16721806812&amp;position=0&amp;universeId=5747480325,11/6/2024 21:57
