Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Catalog Avatar Creator,@ItsMuneeeb,All Ages,19469,3438844,2.8B+,Supported,Supported,7/4/2021,11/5/2024,24,Shopping,1M+,124K+,https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?gameSearchSessionInfo=df0c3d35-82ec-4fcf-b9c2-0e3329c86249&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=7041939546&amp;position=0&amp;universeId=2711375305,11/5/2024 20:24
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,2709,2911356,988.3M+,Supported,Not Supported,1/15/2021,11/5/2024,45,Survival,982K+,107K+,https://www.roblox.com/games/6243699076/HALLOWEEN-The-Mimic?gameSearchSessionInfo=8ac819fa-2833-400c-925a-012ace94e6e0&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6243699076&amp;position=0&amp;universeId=2294168059,11/5/2024 20:25
[RANKED + MORE] Frisbee Frenzy,johnny cage fan group,All Ages,148,21024,1.5M+,Supported,Not Supported,10/26/2023,11/5/2024,8,N/A,5265,1011,https://www.roblox.com/games/15170454486/RANKED-MORE-Frisbee-Frenzy?gameSearchSessionInfo=405ff6ca-30f6-4a4a-9690-1a0513741875&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15170454486&amp;position=0&amp;universeId=5229370491,11/5/2024 20:25
PIGGY: MiniToon Edition [EPISODE 2!],@TaintedMod,All Ages,0,4,44,Not Supported,Not Supported,5/31/2024,7/21/2024,6,N/A,3,0,https://www.roblox.com/games/17681545435/PIGGY-MiniToon-Edition-EPISODE-2?gameSearchSessionInfo=08da016f-254d-44db-b97a-7231c179c176&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17681545435&amp;position=0&amp;universeId=6055698917,11/5/2024 20:25
 Sol's RNG [Era 9],sol's studio,All Ages,22155,635262,765.9M+,Supported,Not Supported,12/3/2023,11/4/2024,20,Simulation,746K+,101K+,https://www.roblox.com/games/15532962292/Sols-RNG-Era-9?gameSearchSessionInfo=22202c29-6dfa-467f-92ea-312cf8761640&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=15532962292&amp;position=0&amp;universeId=5361032378,11/5/2024 20:25
(V 1.0!) Sonic.EXE: Fractured Realms,@SonicThe_BlueBlurrr,All Ages,0,33,2799,Not Supported,Supported,9/8/2024,10/30/2024,50,N/A,22,1,https://www.roblox.com/games/132629836996878/V-1-0-Sonic-EXE-Fractured-Realms?gameSearchSessionInfo=7a59f697-7fd8-4544-b5de-b2d6a1a4c411&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=132629836996878&amp;position=0&amp;universeId=6525795256,11/5/2024 20:25
🎃Basketball Legends🎃,InfinitySports,All Ages,3445,358703,355.7M+,Supported,Not Supported,7/31/2023,11/5/2024,10,Sports &amp; Racing,241K+,52K+,https://www.roblox.com/games/14259168147/Basketball-Legends?gameSearchSessionInfo=9edc3fc0-7dbb-4e91-a91c-5052826b300e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14259168147&amp;position=0&amp;universeId=4931927012,11/5/2024 20:25
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,9035,2363252,2.4B+,Supported,Supported,2/17/2021,11/2/2024,16,Action,1M+,245K+,https://www.roblox.com/games/6403373529/UPDATE-Slap-Battles?gameSearchSessionInfo=6ecff15f-8e6f-467d-98e6-e696ff6e14cd&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6403373529&amp;position=0&amp;universeId=2380077519,11/5/2024 20:25
Nah I'd Win Battlegrounds👊😀,@ThanhAnh2022AA,All Ages,21,238,129.4K+,Not Supported,Supported,4/29/2024,11/4/2024,10,N/A,48,37,https://www.roblox.com/games/17324777727/Nah-Id-Win-Battlegrounds?gameSearchSessionInfo=c1db4125-473b-4404-b014-3063934158dd&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=34&amp;page=searchPage&amp;placeId=17324777727&amp;position=0&amp;universeId=5927543533,11/5/2024 20:25
[🗼UPD] Get Big Simulator,Goofin,All Ages,74,33655,9.1M+,Not Supported,Not Supported,3/20/2024,11/3/2024,10,Simulation,100K+,2975,https://www.roblox.com/games/16805075717/UPD-Get-Big-Simulator?gameSearchSessionInfo=ab1e025e-08c4-4bd2-9bf0-444e7454eead&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=16805075717&amp;position=0&amp;universeId=5775539687,11/5/2024 20:25
