Title,Creator,Age Recommendation,Active,Favorites,Visits,Voice Chat,Camera,Created,Updated,Server Size,Genre
Blox Fruits,Gamer Robot Inc,Ages 9+,622986,13632814,41.6B+,Not Supported,Not Supported,1/16/2019,7/3/2024,12,RPG
Brookhaven 🏡RP,@Wolfpaq,All Ages,758475,22162897,55.9B+,Not Supported,Not Supported,4/21/2020,11/1/2024,22,Roleplay &amp; Avatar Sim
Dress To Impress 💜,Dress To Impress Group,All Ages,316449,3275211,4.0B+,Supported,Not Supported,10/18/2023,11/3/2024,13,Roleplay &amp; Avatar Sim
PETS GO! ✨ [NEW],BIG Games Pets,All Ages,214725,221156,209.1M+,Supported,Not Supported,8/11/2024,11/3/2024,8,N/A
Murder Mystery 2,@Nikilis,Ages 13+,170418,19341561,18.4B+,Supported,Supported,1/18/2014,10/21/2024,12,Survival
[UPDATE 1] Anime Vanguards,Kitawari,All Ages,80026,600746,585.9M+,Supported,Not Supported,1/28/2024,11/3/2024,24,Strategy
The Strongest Battlegrounds,Yielding Arts,Ages 9+,171178,4222165,8.9B+,Supported,Not Supported,8/2/2022,10/28/2024,15,Action
Pet Simulator 99! 🌍,BIG Games Pets,All Ages,80612,1493904,1.5B+,Supported,Not Supported,2/5/2022,11/3/2024,10,Simulation
Adopt Me! ,Uplift Games,All Ages,180792,27005694,37.7B+,Not Supported,Not Supported,7/15/2017,11/2/2024,48,Roleplay &amp; Avatar Sim
Berry Avenue 🏠 RP,Amberry Games,All Ages,131156,2321573,4.5B+,Not Supported,Not Supported,1/8/2022,11/3/2024,30,Roleplay & Avatar Sim
🎃 DOORS 👁️,LSPLASH,All Ages,69393,6713686,5.7B+,Supported,Not Supported,3/14/2021,10/26/2024,40,Survival
Jujutsu Shenanigans,@AlsoNot_Tze,Ages 13+,76256,962808,1.0B+,Supported,Not Supported,4/17/2022,11/3/2024,20,Action
[EPISODE 77 PART 4] Toilet Tower Defense,Telanthric Development,All Ages,69720,1125266,5.0B+,Supported,Supported,6/17/2023,11/3/2024,30,Strategy
🎟️Dandy's World [ALPHA],BlushCrunch Studio,Ages 9+,85877,382261,471.3M+,Not Supported,Not Supported,1/26/2024,11/2/2024,30,Survival
[🎃 UPD] King Legacy,Sea King Games,Ages 9+,119168,2290889,3.2B+,Not Supported,Not Supported,12/17/2019,11/3/2024,12,RPG
[🐟] Fisch,@WoozyNate,All Ages,172551,216986,66.5M+,Supported,Not Supported,3/13/2024,11/3/2024,23,N/A
Five Nights TD [SEASON],Hyper TD,All Ages,39448,240653,409.7M+,Not Supported,Supported,1/3/2024,11/3/2024,20,Strategy
[VIP] Evade 🎃✨,Hexagon Development Community,Ages 9+,49932,5379230,5.2B+,Supported,Supported,6/11/2022,11/2/2024,15,Survival
LifeTogether 🏠 RP (UPDATE 33),Cinnamon Software,All Ages,77122,3369931,1.1B+,Not Supported,Not Supported,7/6/2023,11/3/2024,28,Roleplay &amp; Avatar Sim
[UPD] Blade Ball,Wiggity.,All Ages,42934,10006726,4.5B+,Supported,Not Supported,6/17/2023,11/3/2024,16,Action
Catalog Avatar Creator,@ItsMuneeeb,All Ages,42239,3435485,2.8B+,Supported,Supported,7/4/2021,11/3/2024,24,Shopping
Bee Swarm Simulator,@Onett,All Ages,28049,5957622,2.9B+,Not Supported,Not Supported,3/21/2018,10/29/2024,6,Simulation
🎃 Creatures of Sonaria 🖤 Survive Kaiju Animals,Sonar Studios,Ages 9+,32050,3708957,1.0B+,Not Supported,Not Supported,6/26/2020,11/2/2024,75,Roleplay &amp; Avatar Sim
[🎃] Heroes Battlegrounds,more awesome games yo,Ages 9+,25674,846984,634.4M+,Supported,Not Supported,4/11/2023,11/3/2024,15,Action
Welcome to Bloxburg,Bloxburg Development,All Ages,37479,13560791,9.0B+,Supported,Supported,11/4/2014,10/25/2024,12,Roleplay &amp; Avatar Sim
Barber Bus [HALLOWEEN🎃],BlueLoop Studios,All Ages,422,49477,6.3M+,Supported,Not Supported,4/8/2023,10/29/2024,6,Simulation
BedWars! 🛡️,Easy.gg,Ages 9+,35744,4209573,9.7B+,Supported,Not Supported,5/27/2021,11/3/2024,40,Action
Drive it! [2 Player Obby] 🎃,density.,All Ages,3300,114477,22.9M+,Supported,Supported,9/3/2024,11/1/2024,12,Obby &amp; Platformer
 Piggy [DECAY CHAPTER],@MiniToon,Ages 9+,24302,11682143,13.1B+,Supported,Not Supported,1/23/2020,11/2/2024,6,Survival
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,31740,1311556,794.8M+,Supported,Not Supported,6/4/2020,11/3/2024,1,RPG
[x1.5🍬]   Tower Defense Simulator,Paradoxum Games,All Ages,40962,3092968,3.6B+,Supported,Not Supported,6/5/2019,11/3/2024,30,Strategy
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,20625,2357744,2.4B+,Supported,Supported,2/17/2021,11/2/2024,16,Action
