Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,3978,2910907,987.9M+,Supported,Not Supported,1/15/2021,11/3/2024,45,Survival,982K+,107K+
 🍕Work at a Pizza Place,@xc4libu7,All Ages,3,70,65.4K+,Supported,Not Supported,11/8/2021,11/12/2021,12,N/A,16,12
 Piggy [DECAY CHAPTER],@MiniToon,Ages 9+,15761,11682684,13.1B+,Supported,Not Supported,1/23/2020,11/2/2024,6,Survival,3M+,406K+
 Sol's RNG [Era 9],sol's studio,All Ages,20143,635089,765.3M+,Supported,Not Supported,12/3/2023,11/3/2024,20,Simulation,746K+,100K+
 Sonic.EXE: The disaster 1.2,@OutLaikRBLX,All Ages,6627,74313,44.1M+,Not Supported,Not Supported,9/9/2023,11/2/2024,8,Survival,36K+,4666
[2X]🎃Basketball Legends🎃,InfinitySports,All Ages,9004,358309,355.0M+,Supported,Not Supported,7/31/2023,11/2/2024,10,Sports &amp; Racing,241K+,52K+
[☄️ COSMIC] PETS GO MODDED!,you will never be an rng game,All Ages,845,1806,868.9K+,Supported,Not Supported,10/28/2024,11/4/2024,8,N/A,1176,167
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,12619,2359788,2.4B+,Supported,Supported,2/17/2021,11/2/2024,16,Action,1M+,245K+
[ACE EATER] LOCKED,@Zhoulle,All Ages,3395,95525,83.0M+,Supported,Not Supported,1/26/2023,11/3/2024,35,Sports &amp; Racing,54K+,13K+
[Boss!💥] Car Crushers 2 - Physics Simulation,Car Crushers Community,All Ages,1992,4409098,1.1B+,Supported,Not Supported,2/12/2017,11/4/2024,18,Simulation,1M+,122K+
[CH 4📖] Color or Die 🎨,BIGworks Games,Ages 9+,9944,1147440,696.5M+,Not Supported,Not Supported,3/29/2023,11/4/2024,15,Survival,1M+,122K+
[🤑2X] Vehicle Legends 🏎️ CARS!,QuadraTech,All Ages,9064,2276072,1.5B+,Supported,Not Supported,1/2/2020,11/3/2024,18,Simulation,1M+,70K+
[🥁] Tongue Battles [3x🎃],LDS Fighting,All Ages,3576,217006,131.2M+,Supported,Not Supported,3/12/2024,11/2/2024,18,Action,382K+,28K+
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,18566,1311910,795.5M+,Supported,Not Supported,6/4/2020,11/4/2024,1,RPG,795K+,134K+
[🐟] Fisch,@WoozyNate,All Ages,100969,223239,69.6M+,Supported,Not Supported,3/13/2024,11/4/2024,23,N/A,137K+,17K+
[🪙X2!] Twilight Daycare!,Nighty Studio,All Ages,5925,1969108,2.3B+,Not Supported,Not Supported,3/12/2021,11/2/2024,20,Roleplay &amp; Avatar Sim,752K+,92K+
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,11932,13712767,1.6B+,Supported,Not Supported,6/23/2019,11/2/2024,25,Simulation,1M+,113K+
[🎃 UPD] King Legacy,Sea King Games,Ages 9+,71741,2291942,3.2B+,Not Supported,Not Supported,12/17/2019,11/3/2024,12,RPG,1M+,136K+
[🎃 UPD] Skibidi Tower Defense,SuperSkibidi Games,All Ages,5033,1806217,547.0M+,Supported,Supported,11/24/2023,10/31/2024,50,Strategy,413K+,30K+
[🎃] Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest by Voldex,Ages 9+,4576,4238448,2.1B+,Not Supported,Not Supported,9/26/2018,11/2/2024,40,RPG,1M+,96K+
[🎃] Heroes Battlegrounds,more awesome games yo,Ages 9+,23533,847875,635.8M+,Supported,Not Supported,4/11/2023,11/4/2024,15,Action,532K+,100K+
[🎃] item asylum ,Jean's Bizarre Community,Ages 13+,10257,1026897,427.7M+,Supported,Not Supported,9/9/2020,11/4/2024,16,Action,423K+,63K+
[🎃] MeepCity,@alexnewtron,All Ages,7374,14788741,16.0B+,Supported,Not Supported,2/23/2016,11/1/2024,50,Roleplay &amp; Avatar Sim,2M+,483K+
[🎃] Skateboard Obby,Gorilla Obby,All Ages,4304,781658,192.4M+,Not Supported,Not Supported,2/9/2024,11/4/2024,20,Obby &amp; Platformer,121K+,23K+
[🎃] Soccer Prime RNG ✨,Pixellar Studios,All Ages,172,6372,1.2M+,Supported,Supported,9/23/2024,11/2/2024,15,N/A,6885,132
[🎃] Super League Soccer,Play! Football,All Ages,9196,456817,598.4M+,Supported,Not Supported,1/17/2023,11/4/2024,14,Sports &amp; Racing,218K+,46K+
[🎃] untitled boxing game🥊,drowningsome,Ages 9+,7265,792779,674.8M+,Supported,Not Supported,6/2/2023,11/4/2024,20,Sports &amp; Racing,742K+,119K+
[🎃]Ninjitsu: Master of Elements,Apex | Studios,All Ages,2255,65764,5.0M+,Not Supported,Not Supported,2/5/2023,11/4/2024,12,RPG,20K+,1560
[🎃Event] ⚔️Dungeon RNG,Clicker House,Ages 9+,3062,666021,34.3M+,Supported,Supported,5/19/2024,11/2/2024,10,Simulation,318K+,6949
[🎃FREE UGC🧻]Skibidi Toilet Battle,Skibidi Toilet Boom Studio,All Ages,2985,784588,66.4M+,Supported,Supported,4/16/2024,11/1/2024,25,Strategy,73K+,3442
[🎃Halloween🎃] Phantom Forces,StyLiS Studios,Ages 9+,4309,5865067,1.6B+,Not Supported,Not Supported,8/31/2015,11/3/2024,32,Shooter,2M+,212K+
[🎃Shadow🎃] Sonic Evocative: Remake   ,Tails Team Roblox Official,All Ages,160,1404,3.1M+,Not Supported,Supported,6/29/2024,10/31/2024,50,Simulation,223,93
[🎃UPD] Race Clicker,48h Games,All Ages,2969,1196001,798.8M+,Not Supported,Not Supported,4/5/2022,10/31/2024,25,Sports &amp; Racing,1M+,55K+
[🎃UPDATE] Grand Piece Online,Grand Quest Games,Ages 9+,20554,1420516,1.0B+,Supported,Not Supported,5/7/2018,11/2/2024,1,RPG,979K+,107K+
[EPISODE 77 PART 4] Toilet Tower Defense,Telanthric Development,All Ages,38614,1125724,5.0B+,Supported,Supported,6/17/2023,11/3/2024,30,Strategy,1M+,164K+
[Fighting Animation!!] Unknown Meme Animation,Martabak Asin,Ages 9+,471,421452,53.5M+,Not Supported,Not Supported,7/21/2023,10/28/2024,1,Entertainment,115K+,4895
[GHOST SHINOBI + DIO MOVES] Realm Rampage,S0LID Foundation,All Ages,3143,487187,163.9M+,Supported,Supported,4/13/2024,10/16/2024,14,Action,282K+,55K+
[Halloween PT2] Pillar Chase 2,@The_BladeNinja,Ages 13+,11546,364097,79.7M+,Supported,Supported,2/29/2024,11/4/2024,15,Survival,134K+,17K+
[HALLOWEEN] Sorcerer Battlegrounds,alrage fan club,Ages 9+,3236,591348,372.5M+,Supported,Not Supported,5/31/2023,11/4/2024,15,Action,345K+,87K+
[HALLOWEEN] Your Bizarre Adventure,Bizarre Studios®,Ages 13+,4731,1863853,1.9B+,Supported,Not Supported,2/2/2019,11/2/2024,20,RPG,1M+,162K+
[MYTHICAL WOLF] Fruit Battlegrounds,P O P O,Ages 9+,11153,785960,644.5M+,Supported,Not Supported,3/29/2022,10/30/2024,20,Action,818K+,103K+
[NEW CODE] Project Polaro,@NushDespreCe,All Ages,806,958,205.2K+,Not Supported,Supported,10/30/2024,11/3/2024,13,N/A,349,29
[NEW] Mega Luxury Bus Tycoon🚍,Vanity Studio,All Ages,3410,27587,8.6M+,Not Supported,Supported,1/21/2024,11/4/2024,4,N/A,18K+,1324
[Raider X] War Tycoon,Green Titans Entertainment,Ages 9+,7830,2435259,570.5M+,Supported,Not Supported,1/29/2020,11/4/2024,16,Simulation,754K+,71K+
[RELEASE] Anime Shadow,Anime Heroes Team,All Ages,9320,8714,693.6K+,Supported,Supported,9/27/2024,11/3/2024,12,N/A,9470,433
[RNG] 🎃 Bid Battles!,Absolute Zero!,All Ages,3218,325723,131.5M+,Supported,Not Supported,5/12/2022,11/2/2024,15,Simulation,131K+,13K+
[STAGE THREE!] 💪 Ninja Challenge [Beta],Ninja Challenge,All Ages,3708,28609,22.0M+,Supported,Not Supported,8/5/2024,11/4/2024,5,Obby &amp; Platformer,27K+,3735
[UPD] Blade Ball,Wiggity.,All Ages,28531,10009636,4.5B+,Supported,Not Supported,6/17/2023,11/3/2024,16,Action,6M+,446K+
[UPD✨] Baddies 💅,Meow Meow Games!,Ages 9+,33295,5565830,439.5M+,Supported,Supported,10/4/2022,11/3/2024,22,Action,100K+,38K+
[UPDATE 1] Anime Vanguards,Kitawari,All Ages,60820,601623,587.7M+,Supported,Not Supported,1/28/2024,11/4/2024,24,Strategy,1M+,53K+
[UPDATE 2] Skillful ,Slubberdegullion,All Ages,4167,18183,6.4M+,Not Supported,Not Supported,11/2/2022,11/4/2024,10,N/A,18K+,1305
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,10448,296744,417.3M+,Supported,Not Supported,7/18/2022,10/17/2024,12,RPG,298K+,22K+
[UPDATE!] Speed Draw!,Studio Giraffe,All Ages,12608,1493981,1.2B+,Supported,Not Supported,7/10/2021,10/17/2024,8,Party &amp; Casual,376K+,56K+
[UPGRADE] BARRY'S PRISON RUN! (OBBY),@PlatinumFalls,All Ages,12887,1196787,2.8B+,Supported,Supported,2/3/2022,11/1/2024,12,Obby &amp; Platformer,279K+,199K+
[VIP] Evade 🎃✨,Hexagon Development Community,Ages 9+,32432,5380817,5.2B+,Supported,Supported,6/11/2022,11/4/2024,15,Survival,2M+,131K+
[W50] Obby But You’re On a Bike,FORTUNE 777,All Ages,5844,5757818,1.4B+,Not Supported,Not Supported,7/25/2023,11/2/2024,20,Obby &amp; Platformer,776K+,236K+
[WARSHIP!] Military Tycoon ®,InfinityInteractive,Ages 9+,2846,1733442,760.9M+,Supported,Not Supported,7/31/2021,11/4/2024,12,Simulation,1M+,100K+
[x1.5🍬]   Tower Defense Simulator,Paradoxum Games,All Ages,20356,3093292,3.6B+,Supported,Not Supported,6/5/2019,11/3/2024,30,Strategy,1M+,104K+
3008 [2.73],@uglyburger0,All Ages,13948,4841591,2.3B+,Supported,Supported,1/20/2019,11/2/2024,16,Survival,1M+,152K+
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,11761,1233200,1.1B+,Supported,Supported,2/16/2024,11/3/2024,25,Adventure,1M+,138K+
☄️Don't Press The Button 4,Colorfuel Studios,All Ages,5675,1143176,1.0B+,Supported,Not Supported,6/12/2020,11/3/2024,10,Party &amp; Casual,527K+,88K+
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,9479,3100958,2.0B+,Not Supported,Not Supported,3/27/2018,11/3/2024,15,Simulation,1M+,101K+
Adopt Me! ,Uplift Games,All Ages,86608,27006570,37.7B+,Not Supported,Not Supported,7/15/2017,11/2/2024,48,Roleplay &amp; Avatar Sim,7M+,1M+
American Planes Mud,@bossreyf_alle,All Ages,0,31,10.0K+,Not Supported,Supported,3/4/2024,3/24/2024,50,N/A,12,8
Arsenal,ROLVe,Ages 9+,5830,11174472,5.6B+,Not Supported,Not Supported,8/18/2015,11/3/2024,16,Shooter,4M+,623K+
⚡Ninja Legends,Scriptbloxian Studios,Ages 9+,2612,4568197,2.0B+,Not Supported,Not Supported,9/23/2019,3/16/2024,20,Simulation,1M+,125K+
Banana Eats 🎃,@RyCitrus,Ages 9+,2315,1792403,692.2M+,Supported,Not Supported,11/23/2019,11/2/2024,10,Survival,428K+,56K+
Bayside High School 🍎,Double Bandit Studios,All Ages,7985,474706,434.6M+,Supported,Not Supported,2/28/2023,11/2/2024,30,Roleplay &amp; Avatar Sim,151K+,21K+
BedWars! 🛡️,Easy.gg,Ages 9+,23383,4209760,9.7B+,Supported,Not Supported,5/27/2021,11/3/2024,40,Action,2M+,463K+
Bee Swarm Simulator,@Onett,All Ages,22280,5957784,2.9B+,Not Supported,Not Supported,3/21/2018,10/29/2024,6,Simulation,2M+,124K+
Berry Avenue 🏠 RP,Amberry Games,All Ages,70226,2322475,4.5B+,Not Supported,Not Supported,1/8/2022,11/3/2024,30,Roleplay &amp; Avatar Sim,687K+,100K+
Block Tales [Demo 3],Spaceman Moonbase,All Ages,6588,366922,32.0M+,Not Supported,Not Supported,2/23/2024,10/26/2024,16,RPG,198K+,8096
Blox Fruits,Gamer Robot Inc,Ages 9+,367540,13636161,41.7B+,Not Supported,Not Supported,1/16/2019,7/3/2024,12,RPG,8M+,684K+
Bloxy Bingo,Bloxy Bingo,All Ages,3862,976724,302.2M+,Not Supported,Not Supported,6/28/2020,11/3/2024,80,Party &amp; Casual,246K+,47K+
Boxing Beta! 🥊,sketchy laboratory,Ages 9+,5114,912246,626.1M+,Supported,Not Supported,5/12/2021,10/31/2024,25,Action,256K+,57K+
Break In 2 (Story),@Cracky4,Ages 9+,4315,619848,623.1M+,Supported,Supported,6/26/2023,5/16/2024,55,Adventure,252K+,39K+
